iter	Passed	Remaining
0	149	149247
1	160	80038
2	170	56645
3	180	44858
4	191	38012
5	201	33331
6	210	29910
7	221	27468
8	232	25585
9	242	23960
10	250	22529
11	259	21380
12	268	20380
13	277	19570
14	285	18764
15	294	18129
16	304	17586
17	313	17089
18	322	16629
19	331	16224
20	339	15831
21	348	15494
22	358	15214
23	366	14922
24	376	14667
25	384	14397
26	393	14182
27	402	13968
28	411	13780
29	420	13590
30	429	13433
31	438	13274
32	448	13133
33	457	13004
34	466	12859
35	475	12730
36	484	12606
37	493	12484
38	501	12360
39	511	12275
40	520	12182
41	529	12088
42	539	12001
43	548	11910
44	556	11820
45	566	11742
46	575	11660
47	584	11584
48	593	11513
49	603	11457
50	611	11380
51	620	11313
52	630	11257
53	638	11191
54	647	11133
55	656	11075
56	666	11019
57	674	10960
58	683	10893
59	692	10841
60	701	10799
61	711	10769
62	721	10728
63	730	10682
64	739	10642
65	748	10592
66	757	10547
67	766	10505
68	774	10455
69	783	10413
70	792	10365
71	800	10321
72	809	10284
73	821	10278
74	830	10245
75	839	10209
76	848	10176
77	858	10147
78	867	10111
79	878	10104
80	888	10078
81	897	10049
82	907	10021
83	916	9990
84	924	9949
85	933	9916
86	942	9888
87	951	9857
88	960	9827
89	968	9796
90	976	9754
91	983	9706
92	989	9649
93	995	9597
94	1001	9541
95	1007	9486
96	1013	9433
97	1019	9379
98	1024	9324
99	1029	9265
100	1033	9202
101	1038	9142
102	1042	9080
103	1046	9020
104	1051	8964
105	1056	8907
106	1062	8863
107	1067	8819
108	1074	8783
109	1083	8762
110	1091	8743
111	1097	8703
112	1104	8669
113	1111	8638
114	1118	8606
115	1125	8576
116	1131	8540
117	1138	8506
118	1144	8471
119	1151	8444
120	1160	8432
121	1167	8402
122	1175	8379
123	1181	8349
124	1187	8313
125	1196	8301
126	1204	8278
127	1212	8261
128	1221	8250
129	1230	8236
130	1237	8208
131	1243	8179
132	1249	8145
133	1255	8115
134	1262	8087
135	1268	8057
136	1275	8031
137	1280	7999
138	1287	7973
139	1293	7944
140	1298	7910
141	1305	7886
142	1312	7864
143	1318	7837
144	1324	7811
145	1330	7782
146	1336	7752
147	1342	7727
148	1348	7701
149	1354	7675
150	1361	7657
151	1368	7636
152	1375	7613
153	1380	7585
154	1388	7568
155	1394	7546
156	1401	7522
157	1407	7503
158	1413	7478
159	1420	7456
160	1426	7432
161	1431	7406
162	1437	7382
163	1445	7367
164	1451	7346
165	1457	7322
166	1463	7298
167	1469	7276
168	1475	7253
169	1480	7229
170	1486	7208
171	1492	7185
172	1498	7163
173	1504	7142
174	1510	7118
175	1515	7096
176	1521	7076
177	1527	7054
178	1533	7034
179	1539	7013
180	1546	6996
181	1557	7002
182	1564	6984
183	1570	6966
184	1576	6946
185	1583	6928
186	1589	6912
187	1596	6896
188	1602	6877
189	1608	6857
190	1614	6837
191	1620	6818
192	1625	6798
193	1632	6782
194	1638	6764
195	1644	6745
196	1650	6728
197	1656	6709
198	1662	6690
199	1668	6672
200	1673	6654
201	1679	6635
202	1685	6616
203	1690	6594
204	1695	6574
205	1700	6554
206	1704	6531
207	1709	6510
208	1715	6490
209	1719	6468
210	1724	6448
211	1730	6430
212	1735	6410
213	1739	6390
214	1744	6370
215	1749	6351
216	1754	6332
217	1759	6313
218	1764	6293
219	1769	6274
220	1774	6254
221	1779	6234
222	1783	6214
223	1788	6195
224	1794	6181
225	1800	6167
226	1807	6153
